Severity,Raise time ( GMT ),System type,System name,Component,Description,Acknowledged,Annotation,Additional text,Alarm type,Probable cause,Equipment type,Clear time ( GMT ),Cleared by,CLFI,Supression Flag
WARNING,28-10-2018 19:30,OME6500,NDANDO-MCN-O-I614-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,TANGPF-MSN-O-I657-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,MUMNTG-MSN-O-I657-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,MAANMG-MCD-O-I614-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,BLRVNG-MCN-O-I614-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,BLRBID-MCN-O-I614-01,SHELF-1,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
WARNING,28-10-2018 19:30,OME6500,MAANMG-MCD-O-I614-01,SHELF-3,BKUPI,No,No,Database Save in Progress,PROCESSING,Database Save In Progress,,,,,No
MINOR,28-10-2018 19:29,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,,,,No
MAJOR,28-10-2018 19:28,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,,,,No
MAJOR,28-10-2018 19:28,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:29,,,No
MINOR,28-10-2018 19:27,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:27,,,No
MAJOR,28-10-2018 19:26,NMS,mumair-cien-1ctrl-1,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:28,,,No
MAJOR,28-10-2018 19:25,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:27,,,No
MINOR,28-10-2018 19:25,OME6500,DELGRI-MCD-O-I614-01,DOC-1-1,CHDEL_IP,No,No,DOC Action: Channel Delete In Progress,PROCESSING,DOC Channel Delete In Progress,,28-10-2018 19:25,,,No
MAJOR,28-10-2018 19:23,NMS,ndan50-cien-1ctrl-2,Synchronization Coordinator,Loss Of Synchronization,No,No,"Synchronization Failure:DELGRI-MCD-O-I614-01:PWSM: No data obtained from NE (unexpected error). : L0 Sync Failed Unexpected error: \n   Command = RTRV-OC192   Response = [/*Status, TL1 Session Not Available*/]   Additional Info =  for TID = DELGRI-MCD-O-I614-01",PROCESSING,Loss Of Synchronization,,28-10-2018 19:25,,,No
