F-Nick,L-Node,R-Node,L-ESAM-Port,R-ESAM-Port,L-MLA-3-Port,R-MLA-3-Port,L-SLA,R-SLA,L-WSS-Port,R-WSS-Port,L-OSC-Port,R-OSC-Port
JYN-BID,JYN,BID,1-14-8,3-14-8,1-13-8,3-13-8,1-12-8,3-12-8,1-10-21,3-10-21,1-14-2,3-1-2
JYN-VNG,JYN,VNG,2-14-8,1-7-8,2-13-8,1-8-8,null,null,2-11-21,1-9-21,2-14-2,1-7-2
JYN-DME,JYN,DME,3-14-8,1-7-8,3-13-8,1-8-8,null,null,3-11-21,1-9-21,3-14-2,2-7-2
JYN-HLY,JYN,HLY,3-7-8,1-7-8,3-8-8,1-8-8,null,null,3-9-21,1-9-21,3-7-2,1-7-2
VNG-BID,VNG,BID,1-14-8,1-14-8,1-13-8,1-13-8,null,null,1-11-21,1-11-21,1-14-2,1-14-2
VNG-AID,VNG,AID,2-14-8,1-14-8,2-13-8,1-13-8,null,null,2-11-21,1-11-21,2-14-2,1-14-2
VNG-DME,VNG,DME,3-14-8,1-14-8,3-13-8,1-13-8,null,null,3-11-21,1-11-21,3-14-2,1-14-2
DME-AID,DME,AID,2-14-8,2-14-8,2-13-8,2-13-8,null,null,2-11-21,2-11-21,2-14-2,2-14-2
AID-HLY,AID,HLY,1-7-8,2-14-8,1-8-8,2-13-8,null,null,1-9-21,2-11-21,1-7-2,2-14-2
BID-HLY,BID,HLY,2-14-8,1-14-8,2-13-8,1-13-8,null,null,2-11-21,1-11-21,2-14-2,1-14-2
